,,,Salary,Salary,Salary,Salary,Salary,Salary,,
1,Stephen Curry\curryst01,GSW,$34682550,$37457154,$40231758,$43006362,$45780966,,Bird Rights,$201158790
2,LeBron James\jamesle01,CLE,$33285709,$35607968,,,,,Early Bird,$33285709
3,Paul Millsap\millspa01,DEN,$31269231,$29730769,$30500000,,,,Cap space,$61000000
4,Gordon Hayward\haywago01,BOS,$29727900,$31214295,$32700690,$34187085,,,Cap space,$93642885
5,Blake Griffin\griffbl01,DET,$29512900,$31873932,$34234964,$36595996,$38957028,,Bird Rights,$132217792
6,Kyle Lowry\lowryky01,TOR,$28703704,$31000000,$33296296,,,,Bird Rights,$93000000
7,Russell Westbrook\westbru01,OKC,$28530608,$35350000,$38178000,$41006000,$43848000,,Bird Rights,$186912608
8,Mike Conley\conlemi01,MEM,$28530608,$30521115,$32511623,$34504132,,,Cap Space,$113989729
9,James Harden\hardeja01,HOU,$28299399,$30431854,$37800000,$40824000,$43848000,,Bird Rights,$181203253
10,DeMar DeRozan\derozde01,TOR,$27739975,$27739975,$27739975,$27739975,,,Cap Space,$83219925
11,Al Horford\horfoal01,BOS,$27734405,$28928710,$30123015,,,,Cap Space,$56663115
12,Carmelo Anthony\anthoca01,OKC,$26243760,$27928140,,,,,Bird Rights,$26243760
13,Damian Lillard\lillada01,POR,$26153057,$27977689,$29802321,$31626953,,,1st Round Pick,$115560020
14,Jrue Holiday\holidjr01,NOP,$25686667,$26131111,$26131111,$26131111,$27020000,,Bird Rights,$104080000
15,Chris Bosh\boshch01,MIA,$25289390,$26837720,,,,,,$52127110
16,Kevin Durant\duranke01,GSW,$25000000,$26250000,,,,,Non-Bird Rights,$25000000
17,Otto Porter\porteot01,WAS,$24773250,$26011913,$27250576,$28489239,,,Bird Rights,$78035739
18,Chris Paul\paulch01,HOU,$24599495,,,,,,Bird Rights,$24599495
19,C.J. McCollum\mccolcj01,POR,$23962573,$25759766,$27556959,$29354152,,,1st Round Pick,$106633450
20,Bradley Beal\bealbr01,WAS,$23775506,$25434263,$27093019,$28751775,,,Cap Space,$105054563
21,Anthony Davis\davisan02,NOP,$23775506,$25434263,$27093019,$28751775,,,1st Round Pick,$76302788
22,Andre Drummond\drumman01,DET,$23775506,$25434263,$27093019,$28751775,,,Cap Space,$76302788
23,Hassan Whiteside\whiteha01,MIA,$23775506,$25434263,$27093018,,,,Cap Space,$49209769
24,Dwight Howard\howardw01,CHO,$23500000,$23819725,,,,,Cap Space,$47319725
25,Chandler Parsons\parsoch01,MEM,$23112004,$24107258,$25102511,,,,Cap Space,$72321773
26,Harrison Barnes\barneha02,DAL,$23112004,$24107258,$25102512,,,,Cap Space,$47219262
27,J.J. Redick\redicjj01,PHI,$23000000,,,,,,Cap space,$23000000
28,Marc Gasol\gasolma01,MEM,$22642350,$24119025,$25595700,,,,Bird Rights,$46761375
29,Kevin Love\loveke01,CLE,$22642350,$24119025,$25595700,,,,Bird Rights,$46761375
30,Brook Lopez\lopezbr01,LAL,$22642350,,,,,,Bird Rights,$22642350
31,DeAndre Jordan\jordade01,LAC,$22642350,$24119025,,,,,Bird Rights,$22642350
32,Steven Adams\adamsst01,OKC,$22471910,$24157303,$25842697,$27528090,,,1st Round Pick,$100000000
33,Giannis Antetokounmpo\antetgi01,MIL,$22471910,$24157303,$25842697,$27528090,,,1st Round Pick,$100000000
34,Nicolas Batum\batumni01,CHO,$22434783,$24000000,$25565217,$27130434,,,Cap Space,$72000000
